KEY,EN,HE
TUT_BLOW_ABYSS,"Exhale  for  passing  the  abyss, and  build  a  bridge\n\nTo  continue  press  'Enter'",נשוף נשיפה ארוכה למעבר התהום \n\n\n להמשך לחץ 'Enter'
TUT_BLOW_BOX,Exhale  for  pushing  the  box  into  the  pit\n\n\nTo  continue  press  'Enter',נשוף נשיפה ארוכה לדחיפת הקופסא לבור \n\n להמשך לחץ 'Enter'
NOT_BAD,Not Bad!,לא רע!♥
CLOUD_LOADING,Loading…,טוען...
CLOUD_INIT_FAILED,Cloud init failed,אתחול ענן נכשל
CLOUD_GUEST_NOT_SAVED,Guest - The information is not saved,אורח/ת - המידע לא נשמר
RESULT_DIAMONDS_RUN,Diamonds this run: {0},יהלומים בריצה הזו: {0}
RESULT_BEST_DIAMONDS_LEVEL,Best diamonds (this level): {0},שיא יהלומים בשלב הזה: {0}
LEVEL1_WIN,"You crossed 8 abyss - 2 sc
      pushed 2 cubes - 2 sc
                       went over 1 wall - 6 power","עברת 8 תהומות - 2 שניות, דחפת 2 קוביות - 2 שניות,\n קפצת מעל קיר 1 - עוצמה 6"
LEVEL2_WIN,"You crossed 7 abyss - 5 sc
    pushed 3 cubes - 5 sc
                    went over 1 wall - 6 power","עברת 7 תהומות - 5 שניות, דחפת 3 קוביות - 5 שניות, \nקפצת מעל קיר 1 - עוצמה 6"
YOU_CAN_DO_MORE,You can do more!,את\ה יכול יותר♥
LEVEL3_WIN,"You crossed  4 abyss and pushed 4 cubes - 2 sc
                10 abyss and 2 cubes - 4 sc
               6 abyss and 2 cubes - 5 sc
               7 abyss and 1 cube - 1.5 sc
  went over 4 wall - 6 power
                             4 wall - 8 power
                             2 wall - 4 power","עברת 4 תהומות ודחפת 4 קוביות - 2 שניות, 10תהומות ו 2 קוביות - 4 שניות, 6 תהומות\n ו 2 קוביות - 5 שניות, 7 תהומות וקוביה - 1.5 שניות, קפצת מעל 4 קירות - \nעוצמה 6 , 4 קירות - עוצמה 8 , 2 קירות - עוצמה 4"
VERY_CLOSE,very close!,קרוב מאוד♥
BALLOONS_BLOW_SUP,Scatter  the  balloons  off  the  screen  by  gently  blowing,פזרו את הבלונים מהמסך\nעל ידי נשיפה עדינה
SELECT_WORLD,Select World,בחר\י עולם
SNOWY,Snowy,שלג
SUNNY,Sunny,שמש
,,
START_GAME,Start game,התחל משחק
START,Start,התחל
REGISTER,Register,הרשמה
LOGIN,Log in,כניסה
GUEST,Guest,אורח
USER_NAME,User name,שם משתמש
TUT_BLOW_FLAG,"Flag - Obstacle  reached,  Start  exhalin. \nTo  continue,  press  'Enter'","דגל - הגעת למכשול, התחל לנשוף. \n\nלהמשך לחץ 'Enter'"
TUT_BOARD_FLAG,"Flag - Obstacle  reached,  Start  pressing. \nTo  continue,  press  'Space'","דגל - הגעת למכשול, התחל ללחוץ. \nלהמשך לחץ 'Space'"
